DataYear,CircuitCook88,Indic_Number,Indic_Desc,Caseloads
2010,13,30,Felony Probation Caseloads,811
2010,13,31,Misdemeanor Probation Caseloads,129
2010,13,32,DUI Probation Caseloads,22
2010,14,30,Felony Probation Caseloads,1448
2010,14,31,Misdemeanor Probation Caseloads,512
2010,14,32,DUI Probation Caseloads,1872
2010,15,30,Felony Probation Caseloads,848
2010,15,31,Misdemeanor Probation Caseloads,394
2010,15,32,DUI Probation Caseloads,151
2010,16,30,Felony Probation Caseloads,2025
2010,16,31,Misdemeanor Probation Caseloads,492
2010,16,32,DUI Probation Caseloads,247
2010,17,30,Felony Probation Caseloads,2029
2010,17,31,Misdemeanor Probation Caseloads,1148
2010,17,32,DUI Probation Caseloads,1426
2010,18,30,Felony Probation Caseloads,1923
2010,18,31,Misdemeanor Probation Caseloads,1177
2010,18,32,DUI Probation Caseloads,614
2010,19,30,Felony Probation Caseloads,2449
2010,19,31,Misdemeanor Probation Caseloads,641
2010,19,32,DUI Probation Caseloads,543
2010,20,30,Felony Probation Caseloads,1526
2010,20,31,Misdemeanor Probation Caseloads,129
2010,20,32,DUI Probation Caseloads,46
2010,21,30,Felony Probation Caseloads,692
2010,21,31,Misdemeanor Probation Caseloads,248
2010,21,32,DUI Probation Caseloads,16
2010,22,30,Felony Probation Caseloads,573
2010,22,31,Misdemeanor Probation Caseloads,187
2010,22,32,DUI Probation Caseloads,67
2010,23,30,Felony Probation Caseloads,633
2010,23,31,Misdemeanor Probation Caseloads,451
2010,23,32,DUI Probation Caseloads,75
2010,88,30,Felony Probation Caseloads,18312
2010,88,31,Misdemeanor Probation Caseloads,7267
2010,88,32,DUI Probation Caseloads,7920
2011,1,30,Felony Probation Caseloads,1250
2011,1,31,Misdemeanor Probation Caseloads,695
2011,1,32,DUI Probation Caseloads,608
2011,2,30,Felony Probation Caseloads,1100
2011,2,31,Misdemeanor Probation Caseloads,521
2011,2,32,DUI Probation Caseloads,161
2011,3,30,Felony Probation Caseloads,1481
2011,3,31,Misdemeanor Probation Caseloads,243
2011,3,32,DUI Probation Caseloads,302
2011,4,30,Felony Probation Caseloads,1304
2011,4,31,Misdemeanor Probation Caseloads,1208
2011,4,32,DUI Probation Caseloads,916
2011,5,30,Felony Probation Caseloads,1037
2011,5,31,Misdemeanor Probation Caseloads,493
2011,5,32,DUI Probation Caseloads,156
2011,6,30,Felony Probation Caseloads,2466
2011,6,31,Misdemeanor Probation Caseloads,1006
2011,6,32,DUI Probation Caseloads,674
2011,7,30,Felony Probation Caseloads,1220
2011,7,31,Misdemeanor Probation Caseloads,792
2011,7,32,DUI Probation Caseloads,298
2011,8,30,Felony Probation Caseloads,976
2011,8,31,Misdemeanor Probation Caseloads,337
2011,8,32,DUI Probation Caseloads,441
2011,9,30,Felony Probation Caseloads,604
2011,9,31,Misdemeanor Probation Caseloads,141
2011,9,32,DUI Probation Caseloads,57
2011,10,30,Felony Probation Caseloads,1597
2011,10,31,Misdemeanor Probation Caseloads,603
2011,10,32,DUI Probation Caseloads,145
2011,11,30,Felony Probation Caseloads,1401
2011,11,31,Misdemeanor Probation Caseloads,438
2011,11,32,DUI Probation Caseloads,172
2011,12,30,Felony Probation Caseloads,1642
2011,12,31,Misdemeanor Probation Caseloads,196
2011,12,32,DUI Probation Caseloads,217
2011,13,30,Felony Probation Caseloads,819
2011,13,31,Misdemeanor Probation Caseloads,136
2011,13,32,DUI Probation Caseloads,21
2011,14,30,Felony Probation Caseloads,1447
2011,14,31,Misdemeanor Probation Caseloads,523
2011,14,32,DUI Probation Caseloads,1814
2011,15,30,Felony Probation Caseloads,814
2011,15,31,Misdemeanor Probation Caseloads,366
2011,15,32,DUI Probation Caseloads,133
2011,16,30,Felony Probation Caseloads,1951
2011,16,31,Misdemeanor Probation Caseloads,470
2011,16,32,DUI Probation Caseloads,209
2011,17,30,Felony Probation Caseloads,2320
2011,17,31,Misdemeanor Probation Caseloads,835
2011,17,32,DUI Probation Caseloads,1238
2011,18,30,Felony Probation Caseloads,1926
2011,18,31,Misdemeanor Probation Caseloads,1107
2011,18,32,DUI Probation Caseloads,522
2011,19,30,Felony Probation Caseloads,2030
2011,19,31,Misdemeanor Probation Caseloads,934
2011,19,32,DUI Probation Caseloads,599
2011,20,30,Felony Probation Caseloads,1579
2011,20,31,Misdemeanor Probation Caseloads,151
2011,20,32,DUI Probation Caseloads,49
2011,21,30,Felony Probation Caseloads,682
2011,21,31,Misdemeanor Probation Caseloads,231
2011,21,32,DUI Probation Caseloads,15
2011,22,30,Felony Probation Caseloads,577
2011,22,31,Misdemeanor Probation Caseloads,175
2011,22,32,DUI Probation Caseloads,73
2011,23,30,Felony Probation Caseloads,573
2011,23,31,Misdemeanor Probation Caseloads,373
2011,23,32,DUI Probation Caseloads,36
2011,88,30,Felony Probation Caseloads,18330
2011,88,31,Misdemeanor Probation Caseloads,6108
2011,88,32,DUI Probation Caseloads,4991
2012,1,30,Felony Probation Caseloads,1332
2012,1,31,Misdemeanor Probation Caseloads,744
2012,1,32,DUI Probation Caseloads,659
2012,2,30,Felony Probation Caseloads,1191
2012,2,31,Misdemeanor Probation Caseloads,537
2012,2,32,DUI Probation Caseloads,132
2012,3,30,Felony Probation Caseloads,1503
2012,3,31,Misdemeanor Probation Caseloads,210
2012,3,32,DUI Probation Caseloads,318
2012,4,30,Felony Probation Caseloads,1416
2012,4,31,Misdemeanor Probation Caseloads,1230
2012,4,32,DUI Probation Caseloads,916
2012,5,30,Felony Probation Caseloads,1181
2012,5,31,Misdemeanor Probation Caseloads,405
2012,5,32,DUI Probation Caseloads,137
2012,6,30,Felony Probation Caseloads,2468
2012,6,31,Misdemeanor Probation Caseloads,1021
2012,6,32,DUI Probation Caseloads,654
2012,7,30,Felony Probation Caseloads,1133
2012,7,31,Misdemeanor Probation Caseloads,657
2012,7,32,DUI Probation Caseloads,341
2012,8,30,Felony Probation Caseloads,930
2012,8,31,Misdemeanor Probation Caseloads,365
2012,8,32,DUI Probation Caseloads,401
2012,9,30,Felony Probation Caseloads,580
2012,9,31,Misdemeanor Probation Caseloads,142
2012,9,32,DUI Probation Caseloads,50
